證券代碼,股票簡稱,上市板,所屬行業,最近收盤股價,流通股份,市值(百萬),Q4sales,Q3sales,Q4NI,Q3NI,corr,corr1,predict112Sales,predict112NI,predict112EPS,Div,EPS,corr,predict112Div,預估年度殖利率(%),預估配發股利總金額(百萬),預估殖利率5%股價
1232.TW,大統益,上市,食品工業,147.5,159975008,23596.31368,"[17150108.0, 17440979.0, 20477990.0, 24676960.0]","[12609329.0, 12485761.0, 14602285.0, 17687951.0]","[974572.0, 1291828.0, 1241710.0, 1226205.0]","[741000.0, 865505.0, 892249.0, 978481.0]",0.9979582140735499,0.7737522100989775,24769156.169682875,1189849.843985591,7.437723297288981,"[5.0, 6.0, 6.0, 6.0]","[6.09, 8.08, 7.76, 7.66]",0.9795295724956402,5.772137691900341,3.913%,923.3977734388586,115.44275383800682
1233.TW,天仁,上市,食品工業,33.6,90549000,3042.4464,"[2247585.0, 1906194.0, 1773001.0, 1835662.0]","[1670542.0, 1401213.0, 1282605.0, 1312952.0]","[156589.0, 57053.0, 43128.0, 51229.0]","[124583.0, 36732.0, 21003.0, 27739.0]",0.9974608987618158,0.9994375469992767,2111106.397473168,108267.58546299598,1.1956795266982074,"[1.6, 0.8, 0.8, 0.85]","[1.73, 0.63, 0.48, 0.57]",0.9934200749414365,1.239906128581778,3.690%,112.27226003695142,24.79812257163556
1234.TW,黑松,上市,食品工業,43.15,401871008,17340.7339952,"[9145655.0, 9204945.0, 9222874.0, 9558497.0]","[6751798.0, 6869017.0, 6792222.0, 6964779.0]","[846511.0, 890163.0, 796809.0, 886135.0]","[684699.0, 718494.0, 536689.0, 693895.0]",0.896912704001345,0.9380473328671748,11280907.992279697,911822.0352901903,2.2689420663313693,"[1.7, 1.8, 1.7, 1.8]","[2.11, 2.22, 1.98, 2.21]",0.8790490729915328,1.8131554846960771,4.202%,728.654622295541,36.26310969392154
1235.TW,興泰,上市,食品工業,101.5,36438000,3698.457,"[61778.0, 78579.0, 41090.0, 63027.0]","[47978.0, 59063.0, 36884.0, 48843.0]","[46889.0, 65636.0, 82080.0, 169195.0]","[52123.0, 79706.0, 87021.0, 179706.0]",0.997626227274619,0.9970650825936627,34447.818679539894,61199.97015874932,1.6795644700244063,"[0.55, 1.5, 1.0, 1.0]","[0.49, 0.65, 0.81, 1.31]",0.154270392982127,1.282110283089613,1.263%,46.71753449521932,25.642205661792257
1236.TW,宏亞,上市,食品工業,25.0,86674000,2166.85,"[1864663.0, 1637280.0, 1755115.0, 2108653.0]","[1278667.0, 1149809.0, 1226345.0, 1461131.0]","[15779.0, 180.0, -27357.0, 424156.0]","[-32443.0, -15227.0, -25814.0, 400207.0]",0.9968873329903453,0.9953494854151881,2057003.4116632058,34560.77504221001,0.398744433650345,"[0.3, 0.2, 0.5, 1.0]","[0.15, 0.0, -0.25, 3.91]",0.9112331853000183,0.4092325734276147,1.637%,35.46982406926507,8.184651468552294
1240.TWO,茂生農經,上櫃,農業科技業,54.2,39370000,2133.854,"[1818705.0, 2276984.0, 2999605.0, 3370796.0]","[1288668.0, 1648286.0, 2147657.0, 2462174.0]","[136414.0, 155493.0, 131173.0, 5591.0]","[103567.0, 107823.0, 95395.0, 779.0]",0.9993825757398531,0.996788598456777,2936973.7199468864,145351.799937686,3.691943102303429,"[2.0, 2.0, 2.0, 1.0]","[4.01, 4.44, 3.57, 0.14]",0.9835397721432936,1.9131010711606433,3.530%,75.31878917159453,38.262021423212865
1256.TW,鮮活果汁-KY,上市,食品工業,194.0,33842200,6565.3868,"[3520879.0, 3479683.0, 4581970.0, 4101393.0]","[2837745.0, 2708198.0, 3883939.0, 3437315.0]","[548142.0, 778199.0, 708708.0, 403294.0]","[462344.0, 616980.0, 698648.0, 336245.0]",0.997020808481365,0.928916165190096,4578901.812255131,516211.2660594529,15.253478380821958,"[6.2, 12.0, 13.0, 6.5]","[16.2, 22.99, 20.94, 11.92]",0.8825977507581592,7.668613039368958,3.953%,259.5227362009322,153.37226078737916
1259.TWO,安心,上櫃,觀光餐旅,71.7,32389500,2322.32715,"[5484492.0, 5342094.0, 5034182.0, 5725450.0]","[4124939.0, 4017759.0, 3698454.0, 4270700.0]","[161947.0, 159919.0, 99340.0, 130143.0]","[140681.0, 122912.0, 34949.0, 100850.0]",0.9899517916968711,0.9739571774497913,5984778.503168268,167907.81407233514,5.184019946968466,"[3.2, 3.0, 2.3, 2.6]","[5.02, 4.96, 3.07, 4.02]",0.9773115699396868,3.1673318171698783,4.417%,102.58829389222377,63.34663634339756
1264.TWO,德麥,上櫃,食品工業,320.0,37052000,11856.64,"[4076129.0, 4375430.0, 4948371.0, 5340996.0]","[2975172.0, 3127713.0, 3513492.0, 3795695.0]","[472580.0, 539070.0, 599726.0, 633184.0]","[348118.0, 392311.0, 419215.0, 474342.0]",0.9984805417361443,0.9697651020205265,6058623.068354156,695469.7815956239,18.770100982285005,"[11.0, 12.0, 12.0, 12.0]","[14.02, 16.0, 16.19, 17.09]",0.9300448590592147,12.80850287191104,4.003%,474.58064841004784,256.1700574382208
1268.TWO,漢來美食,上櫃,觀光餐旅,169.0,42224000,7135.856,"[3775225.0, 3459267.0, 2929855.0, 3756874.0]","[2835602.0, 2460147.0, 1953087.0, 2613834.0]","[266457.0, 279579.0, 75343.0, 130052.0]","[213646.0, 209670.0, -68146.0, 42445.0]",0.9744940027576923,0.9916574251560044,4653354.767269381,324880.03973474633,7.694203290421237,"[7.0, 7.0, 3.0, 3.0]","[7.2, 7.51, 2.01, 3.08]",0.9868540634557476,7.2224759143860915,4.274%,304.9618230090383,144.44951828772182
